"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","AWVHT","MWVHT","WVHT","APD"
"01/11/2019","23:50","25.6","245","28.9","14.9","N/A","989.1","3.69","0.55","0.61","0.62","5.95"
"01/11/2019","23:55","29.0","247","31.4","14.9","N/A","988.8","3.75","0.67","0.69","0.62","5.95"
"01/11/2019","21:40","27.7","234","29.9","15.6","N/A","990.2","2.30","0.41","0.68","0.58","5.69"
"01/11/2019","21:45","27.6","234","30.3","15.6","N/A","990.0","2.34","0.59","0.59","0.57","4.20"
"01/11/2019","21:50","25.8","239","30.1","15.6","N/A","989.9","2.36","0.73","0.73","0.57","4.20"
"01/11/2019","21:55","24.2","241","26.7","15.6","N/A","990.2","2.39","0.68","0.69","0.57","4.20"
"01/11/2019","22:00","24.6","238","29.2","15.4","N/A","989.9","2.41","0.50","0.93","0.60","5.45"
"01/11/2019","22:05","22.2","240","25.1","15.3","N/A","989.9","2.45","0.76","0.76","0.60","5.45"
"01/11/2019","22:10","23.6","238","27.3","15.3","N/A","989.7","2.46","0.53","0.79","0.60","5.45"
"01/11/2019","22:15","28.2","237","30.5","15.3","N/A","989.4","2.51","0.63","0.79","0.64","5.23"
"01/11/2019","22:20","24.5","238","27.0","15.3","N/A","989.6","2.54","0.59","0.59","0.64","5.23"
"01/11/2019","22:25","25.8","247","29.0","15.2","N/A","989.7","2.58","1.15","1.16","0.64","5.23"
"01/11/2019","22:30","25.0","240","28.0","15.3","N/A","989.4","2.61","0.76","0.76","0.62","5.69"
"01/11/2019","22:35","24.1","240","25.1","15.1","N/A","989.5","2.66","0.63","0.63","0.62","5.69"
"01/11/2019","22:40","25.0","237","27.8","15.2","N/A","989.2","2.69","0.56","0.59","0.62","5.69"
"01/11/2019","22:45","26.7","241","29.5","14.9","N/A","989.2","2.76","0.65","0.65","0.59","5.23"
"01/11/2019","22:50","23.3","242","27.2","14.8","N/A","989.2","2.82","0.82","0.83","0.59","5.23"
"01/11/2019","22:55","23.5","242","26.2","14.9","N/A","989.4","2.88","0.74","0.75","0.59","5.23"
"01/11/2019","23:00","22.5","246","24.4","14.9","N/A","989.6","2.94","0.70","0.88","0.59","4.49"
"01/11/2019","23:05","25.3","240","27.8","14.9","N/A","989.2","2.99","0.65","0.84","0.59","4.49"
"01/11/2019","23:10","22.1","239","26.2","14.9","N/A","989.3","3.05","0.65","0.68","0.59","4.49"
"01/11/2019","23:15","28.0","242","30.5","15.0","N/A","989.3","3.14","0.76","0.76","0.63","5.95"
"01/11/2019","23:20","24.1","241","26.4","14.9","N/A","989.4","3.20","0.55","0.64","0.63","5.95"
"01/11/2019","23:25","29.1","236","31.6","14.9","N/A","989.1","3.29","0.54","0.54","0.63","5.95"
"01/11/2019","23:30","28.8","243","31.3","14.9","N/A","989.0","3.35","0.70","0.70","0.60","4.66"
"01/11/2019","23:35","26.7","246","29.2","14.8","N/A","989.0","3.44","0.54","0.61","0.60","4.66"
"01/11/2019","23:40","25.1","243","29.9","14.8","N/A","988.8","3.52","0.52","0.67","0.60","4.66"
"01/11/2019","23:45","24.0","245","25.9","14.9","N/A","989.0","3.59","0.77","0.77","0.62","5.95"
"01/11/2019","00:00","11.8","179","12.8","13.8","N/A","1012.7","4.18","0.34","0.34","0.41","11.13"
"01/11/2019","00:05","12.7","175","14.1","13.8","N/A","1012.5","4.23","0.37","0.48","0.41","11.13"
"01/11/2019","00:10","10.3","172","11.2","13.8","N/A","1012.7","4.28","0.49","0.49","0.41","11.13"
